==79091== NVPROF is profiling process 79091, command: ./lassen-executable/hotspot_11 2048 2 2 ../../data/hotspot/temp_2048 ../../data/hotspot/power_2048 output.out
==79091== Profiling application: ./lassen-executable/hotspot_11 2048 2 2 ../../data/hotspot/temp_2048 ../../data/hotspot/power_2048 output.out
WG size of kernel = 16 X 16
alloc FilesavingTemp
Number of allocated Data = 1
in api range: 0x200060000000 0x200061000000
alloc FilesavingPower
Number of allocated Data = 2
in api range: 0x200061000000 0x200062000000
pyramidHeight: 2
gridSize: [2048, 2048]
border:[2, 2]
blockGrid:[171, 171]
targetBlock:[12, 12]
Number of allocated Data = 3
in api range: 0x200062000000 0x200063000000
Start computing the transient temperature
Ending simulation
removing 0 1
==79091== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
548.37ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060000000  [Unified Memory CPU page faults]
557.53ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060010000  [Unified Memory CPU page faults]
566.44ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060020000  [Unified Memory CPU page faults]
578.64ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060040000  [Unified Memory CPU page faults]
617.57ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060080000  [Unified Memory CPU page faults]
667.17ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060100000  [Unified Memory CPU page faults]
757.37ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060200000  [Unified Memory CPU page faults]
763.18ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060210000  [Unified Memory CPU page faults]
768.85ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060220000  [Unified Memory CPU page faults]
780.12ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060240000  [Unified Memory CPU page faults]
802.74ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060280000  [Unified Memory CPU page faults]
847.79ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060300000  [Unified Memory CPU page faults]
983.22ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060400000  [Unified Memory CPU page faults]
988.91ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060410000  [Unified Memory CPU page faults]
994.70ms         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060420000  [Unified Memory CPU page faults]
1.00599s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060440000  [Unified Memory CPU page faults]
1.02864s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060480000  [Unified Memory CPU page faults]
1.07373s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060500000  [Unified Memory CPU page faults]
1.16399s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060600000  [Unified Memory CPU page faults]
1.16966s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060610000  [Unified Memory CPU page faults]
1.17545s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060620000  [Unified Memory CPU page faults]
1.18671s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060640000  [Unified Memory CPU page faults]
1.21025s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060680000  [Unified Memory CPU page faults]
1.25524s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060700000  [Unified Memory CPU page faults]
1.34539s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060800000  [Unified Memory CPU page faults]
1.35107s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060810000  [Unified Memory CPU page faults]
1.35673s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060820000  [Unified Memory CPU page faults]
1.36810s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060840000  [Unified Memory CPU page faults]
1.39071s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060880000  [Unified Memory CPU page faults]
1.43570s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060900000  [Unified Memory CPU page faults]
1.55008s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060a00000  [Unified Memory CPU page faults]
1.55575s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060a10000  [Unified Memory CPU page faults]
1.56139s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060a20000  [Unified Memory CPU page faults]
1.57278s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060a40000  [Unified Memory CPU page faults]
1.59533s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060a80000  [Unified Memory CPU page faults]
1.64285s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060b00000  [Unified Memory CPU page faults]
1.73359s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060c00000  [Unified Memory CPU page faults]
1.73926s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060c10000  [Unified Memory CPU page faults]
1.74493s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060c20000  [Unified Memory CPU page faults]
1.75632s         -                    -               -         -         -         -                -         -         -         PC 0x10003fcc   0x200060c40000  [Unified Memory CPU page faults]
