0,cuda_compute_step_factor,Memory Frequency,cycle/second,795373665.48,cfd,097K
0,cuda_compute_step_factor,SOL FB,%,43.86,cfd,097K
0,cuda_compute_step_factor,Elapsed Cycles,cycle,10608,cfd,097K
0,cuda_compute_step_factor,SM Frequency,cycle/second,1177954478.05,cfd,097K
0,cuda_compute_step_factor,Memory [%],%,43.86,cfd,097K
0,cuda_compute_step_factor,Duration,nsecond,8992,cfd,097K
0,cuda_compute_step_factor,SOL L2,%,13.22,cfd,097K
0,cuda_compute_step_factor,SM Active Cycles,cycle,7953.91,cfd,097K
0,cuda_compute_step_factor,SM [%],%,21.73,cfd,097K
0,cuda_compute_step_factor,SOL TEX,%,11.45,cfd,097K
0,cuda_compute_step_factor,Block Size,,192,cfd,097K
0,cuda_compute_step_factor,Grid Size,,506,cfd,097K
0,cuda_compute_step_factor,Registers Per Thread,register/thread,20,cfd,097K
0,cuda_compute_step_factor,Shared Memory Configuration Size,byte,0,cfd,097K
0,cuda_compute_step_factor,Dynamic Shared Memory Per Block,byte/block,0,cfd,097K
0,cuda_compute_step_factor,Static Shared Memory Per Block,byte/block,0,cfd,097K
0,cuda_compute_step_factor,Threads,thread,97152,cfd,097K
0,cuda_compute_step_factor,Waves Per SM,,0.63,cfd,097K
0,cuda_compute_step_factor,Block Limit SM,block,32,cfd,097K
0,cuda_compute_step_factor,Block Limit Registers,block,14,cfd,097K
0,cuda_compute_step_factor,Block Limit Shared Mem,block,32,cfd,097K
0,cuda_compute_step_factor,Block Limit Warps,block,10,cfd,097K
0,cuda_compute_step_factor,Achieved Active Warps Per SM,warp,31.16,cfd,097K
0,cuda_compute_step_factor,Achieved Occupancy,%,48.68,cfd,097K
0,cuda_compute_step_factor,Theoretical Active Warps per SM,warp/cycle,60,cfd,097K
0,cuda_compute_step_factor,Theoretical Occupancy,%,93.75,cfd,097K
1,cuda_compute_flux,Memory Frequency,cycle/second,831951026.86,cfd,097K
1,cuda_compute_flux,SOL FB,%,34.36,cfd,097K
1,cuda_compute_flux,Elapsed Cycles,cycle,49925,cfd,097K
1,cuda_compute_flux,SM Frequency,cycle/second,1227924236.44,cfd,097K
1,cuda_compute_flux,Memory [%],%,34.36,cfd,097K
1,cuda_compute_flux,Duration,nsecond,40512,cfd,097K
1,cuda_compute_flux,SOL L2,%,30.67,cfd,097K
1,cuda_compute_flux,SM Active Cycles,cycle,36821.11,cfd,097K
1,cuda_compute_flux,SM [%],%,25.99,cfd,097K
1,cuda_compute_flux,SOL TEX,%,29.33,cfd,097K
1,cuda_compute_flux,Block Size,,192,cfd,097K
1,cuda_compute_flux,Grid Size,,506,cfd,097K
1,cuda_compute_flux,Registers Per Thread,register/thread,60,cfd,097K
1,cuda_compute_flux,Shared Memory Configuration Size,byte,0,cfd,097K
1,cuda_compute_flux,Dynamic Shared Memory Per Block,byte/block,0,cfd,097K
1,cuda_compute_flux,Static Shared Memory Per Block,byte/block,0,cfd,097K
1,cuda_compute_flux,Threads,thread,97152,cfd,097K
1,cuda_compute_flux,Waves Per SM,,1.27,cfd,097K
1,cuda_compute_flux,Block Limit SM,block,32,cfd,097K
1,cuda_compute_flux,Block Limit Registers,block,5,cfd,097K
1,cuda_compute_flux,Block Limit Shared Mem,block,32,cfd,097K
1,cuda_compute_flux,Block Limit Warps,block,10,cfd,097K
1,cuda_compute_flux,Achieved Active Warps Per SM,warp,25.39,cfd,097K
1,cuda_compute_flux,Achieved Occupancy,%,39.67,cfd,097K
1,cuda_compute_flux,Theoretical Active Warps per SM,warp/cycle,30,cfd,097K
1,cuda_compute_flux,Theoretical Occupancy,%,46.88,cfd,097K
2,cuda_time_step,Memory Frequency,cycle/second,813315926.89,cfd,097K
2,cuda_time_step,SOL FB,%,66.16,cfd,097K
2,cuda_time_step,Elapsed Cycles,cycle,14814,cfd,097K
2,cuda_time_step,SM Frequency,cycle/second,1206252719.76,cfd,097K
2,cuda_time_step,Memory [%],%,66.16,cfd,097K
2,cuda_time_step,Duration,nsecond,12256,cfd,097K
2,cuda_time_step,SOL L2,%,21.66,cfd,097K
